ID,seguranca,seguranca_n
35,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Alerta de ponto cego' ,Alerta de tráfego cruzado traseiro' ,Assistente de desembarque' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Assistente de visão noturna' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Diferencial central' ,Disco de freio de carbono-cerâmica' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de laser' ,Freios ABS' ,Frenagem automática de emergência' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Sistema antifurto de rodas' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",41
36,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Alerta de ponto cego' ,Alerta de tráfego cruzado traseiro' ,Assistente de desembarque' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Assistente de visão noturna' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Diferencial central' ,Disco de freio de carbono-cerâmica' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de laser' ,Freios ABS' ,Frenagem automática de emergência' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Sistema antifurto de rodas' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",41
37,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,ISOFIX para fixação de cadeira infantil' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Travamento central das portas' ,Vetorização de torque'",26
38,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,Frenagem automática de emergência' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Travamento central das portas' ,Vetorização de torque'",30
39,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Alerta de ponto cego' ,Alerta de tráfego cruzado traseiro' ,Assistente de desembarque' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,Frenagem automática de emergência' ,Frenagem automática em manobras' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",37
40,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas'",26
41,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle automático de descida' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,Frenagem automática de emergência' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas'",31
42,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas'",26
43,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle automático de descida' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,Frenagem automática de emergência' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas'",31
44,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle automático de descida' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas'",27
