id,torque_max_al_kgfm,torque_max_gas_kgfm,torque_m_rpm
79,NA,34.7,NA
80,NA,34.7,NA
81,NA,34.7,NA
82,NA,37.7,NA
83,NA,37.7,NA
84,NA,37.7,NA
85,NA,37.7,NA
86,NA,37.7,NA
87,NA,37.7,NA
88,NA,37.7,NA
89,NA,37.7,NA
90,NA,37.7,NA
91,NA,37.7,NA
92,NA,37.7,NA
93,NA,37.7,NA
94,NA,37.7,NA
95,NA,37.7,NA
96,NA,37.7,NA
97,NA,51,NA
98,NA,51,NA
99,NA,51,NA
100,NA,51,NA
101,NA,51,NA
102,NA,51,NA
103,NA,61.2,NA
104,NA,81.6,NA
105,NA,81.6,NA
106,NA,81.6,NA
107,NA,81.6,NA
110,NA,32.6,1450
111,NA,32.6,1450
112,NA,37.7,1600
113,NA,37.7,1600
114,NA,37.7,1600
115,NA,51,1370
120,NA,25.5,1500
121,NA,37.7,1600
122,NA,37.7,1600
123,NA,37.7,1600
124,NA,37.7,1600
125,NA,37.7,1600
126,NA,51,1370
127,NA,51,1370
128,NA,57.1,6600
129,NA,81.6,2050
130,NA,81.6,2050
131,NA,48.9,1950
132,NA,48.9,1950
135,NA,35.7,1500
136,NA,51,1370
140,NA,25.5,1500
141,NA,25.5,NA
142,NA,25.5,1500
143,NA,20.4,1400
147,NA,35.7,1500
148,NA,32.6,1450
149,NA,32.6,1450
150,NA,32.6,1450
151,NA,32.6,1450
152,NA,32.6,1450
153,NA,32.6,1450
154,NA,37.7,1600
157,NA,37.7,1600
158,NA,37.7,1600
159,NA,37.7,1600
160,NA,51,1370
161,NA,51,NA
162,NA,61.2,1900
163,NA,32.6,1450
164,NA,37.7,1600
165,NA,32.6,1450
166,NA,32.6,1450
167,NA,32.6,1450
168,NA,37.7,1600
169,NA,37.7,1600
170,NA,32.6,1450
172,NA,37.7,1600
173,NA,37.7,1600
174,NA,37.7,1600
175,NA,37.7,1600
176,NA,57.1,6500
177,NA,48.9,1700
178,NA,51,1370
179,NA,37.7,1600
180,NA,48.9,1700
181,NA,32.6,1500
182,NA,32.6,1450
183,NA,32.6,1450
184,NA,37.7,1600
185,NA,32.6,1450
186,NA,61.2,1500
187,NA,25.5,1500
189,NA,35.7,1500
191,NA,25.5,1500
193,NA,25.5,1500
194,NA,44.9,2900
195,NA,61.2,1500
196,NA,76.5,2500
197,NA,76.5,2500
198,NA,47.9,4000
199,NA,76.5,2500
200,NA,37.7,1600
201,NA,38.7,1800
202,NA,20.4,1400
203,NA,25.5,1250
204,NA,20.4,1400
206,NA,35.7,1500
208,NA,32.6,1400
209,NA,37.7,1600
210,NA,32.6,1400
211,NA,25.5,1500
212,NA,32.6,1400
213,NA,25.5,1500
214,NA,54.1,6500
215,NA,47.5,1625
216,NA,42.8,1500
217,NA,38.7,1800
218,NA,56.1,1400
219,NA,38.7,1800
220,NA,25.5,1250
221,NA,20.4,1400
222,NA,25.5,1250
223,NA,20.4,1400
224,NA,25.5,1250
225,NA,32.6,1400
226,NA,32.6,1400
227,NA,32.6,1400
228,NA,32.6,1400
229,NA,37.7,1600
230,NA,44.9,2900
231,NA,44.9,2900
232,NA,35.7,1500
233,NA,35.7,1500
234,NA,44.9,2900
235,NA,40.8,2250
236,NA,56,1400
237,NA,66.3,1750
238,NA,37.7,1600
239,NA,20.4,1400
240,NA,25.5,1250
241,NA,25.5,1250
242,NA,20.4,1400
243,NA,28.5,1700
244,NA,55,6500
245,NA,71.4,1750
246,NA,71.4,1750
247,NA,38.7,1800
248,NA,45.9,1600
249,NA,20.4,1500
250,NA,25.5,2000
251,NA,25.5,2000
252,NA,35.7,2500
253,NA,25.5,1250
254,NA,32.6,1500
255,NA,35.7,1500
256,NA,32.6,1500
257,NA,35.7,1500
258,NA,32.6,1500
259,NA,35.7,1500
260,NA,44.9,2900
261,NA,44.9,2900
262,NA,44.9,2900
263,NA,30.6,1800
264,NA,28.5,1700
265,NA,40.8,2150
266,NA,45.9,1600
267,NA,56.1,1400
268,NA,32.6,1500
269,NA,35.7,1500
270,NA,35.7,1500
