angulo_central_graus,angulo_de_entrada_graus,angulo_de_saida_graus,rampa_maxima_graus,inclinacao_lateral_maxima_graus,curso_do_pistao_mm,diametro_do_cilindro_mm,altura_do_flanco_mm,altura_mm,bitola_dianteira_mm,bitola_traseira_mm,comprimento_mm,distancia_entre_eixos_mm,largura_mm,vao_livre_do_solo_mm,altura_minima_do_solo_mm,travessia_de_agua_mm,potencia_maxima_rpm,rotacao_de_potencia_maxima_rpm,rotacao_de_torque_maximo_rpm,rotacao_maxima_rpm,potencia_especifica_cv,potencia_maxima_cv,potencia_cv,potencia_combinada_cv,potencia_especifica_cv/litro,peso_potencia_kg/cv,peso_torque_kg/kgfm,torque_especifico_kgfm/litro,peso_potencia_kg,peso_torque_kg,torque_especifico_kg,peso_kg,carga_util_kg,reboque_com_freio_kg,reboque_sem_freio_kg,torque_kg,torque_combinado_kg,consumo_rodoviario_gasolina_km/l,consumo_urbano_gasolina_km/l,consumo_rodoviario_diesel_km/l,consumo_urbano_diesel_km/l,consumo_rodoviario_km/l,consumo_urbano_km/l,consumo_rodoviario_alcool_km/l,consumo_urbano_alcool_km/l,velocidade_maxima_km/h,velocidade_maxima_modo_eletrico_km/h,velocidade_maxima_km,consumo_rodoviario_gasolina_km,consumo_urbano_gasolina_km,autonomia_rodoviaria_gasolina_km,autonomia_urbana_gasolina_km,consumo_rodoviario_diesel_km,consumo_urbano_diesel_km,autonomia_rodoviaria_diesel_km,autonomia_urbana_diesel_km,autonomia_km,consumo_eletrico_km,autonomia_eletrica_km,velocidade_maxima_modo_eletrico_km,consumo_rodoviario_km,consumo_urbano_km,autonomia_rodoviaria_km,autonomia_urbana_km,consumo_rodoviario_alcool_km,consumo_urbano_alcool_km,autonomia_rodoviaria_alcool_km,autonomia_urbana_alcool_km,aceleracao_0_100_km_h_s,cilindrada_cm³,cilindrada_unitaria_cm³,porta_malas_litros,tanque_de_combustivel_litros,porta_malas_5_lugares_litros,porta_malas_7_lugares_litros,porta_malas_6_lugares_litros,diametro_minimo_de_giro_m,diametro_de_giro_m,frenagem_0_100_km_h_m,area_frontal_m²,area_frontal_corrigida_m²,capacidade_de_bateria_kWh,consumo_eletrico_kWh,ID
NA,NA,NA,NA,NA,86,86,98,1195,1600,1600,3410,2345,1828,NA,NA,NA,350,NA,NA,NA,175.2,350,NA,NA,175.2,1.7,18.2,16.8,1.7,18.2,16.8,612,NA,NA,NA,NA,NA,12,9,NA,NA,NA,NA,NA,NA,250,NA,250,12,9,480,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1998,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,NA,NA,NA,NA,86,86,98,1195,1600,1600,3410,2345,1828,NA,NA,NA,245,NA,NA,NA,122.6,245,NA,NA,122.6,2.1,21.2,12.3,2.1,21.2,12.3,520,NA,NA,NA,NA,NA,12,9,NA,NA,NA,NA,NA,NA,233,NA,233,12,9,480,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,1998,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
NA,NA,NA,NA,NA,NA,NA,130,2040,NA,NA,5260,2800,1690,NA,NA,NA,75,NA,NA,NA,27.8,75,NA,NA,27.8,26.7,125,5.9,26.7,125,5.9,2000,NA,NA,NA,NA,NA,NA,NA,10,8,NA,NA,NA,NA,125,NA,125,NA,NA,NA,NA,10,8,620,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2701,NA,100,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
NA,NA,NA,NA,NA,94,86,176,1800,1330,1330,3720,2260,1630,260,NA,NA,65.3,NA,NA,NA,29.9,65.3,NA,NA,29.9,19.4,94.1,6.2,19.4,94.1,6.2,1270,NA,NA,NA,NA,NA,NA,NA,10.8,8.6,NA,NA,NA,NA,133,NA,133,NA,NA,NA,NA,10.8,8.6,702,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2184,NA,110,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NA,NA,NA,NA,NA,69,70,116,1870,1205,1220,3360,1810,1400,165,NA,NA,40,NA,NA,NA,50.3,40,NA,NA,50.3,32,213.3,7.5,32,213.3,7.5,1280,450,NA,NA,NA,NA,13.8,11.4,NA,NA,NA,NA,NA,NA,116,NA,116,13.8,11.4,483,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,796,NA,272,35,NA,NA,NA,NA,NA,NA,2.23,0.914,NA,NA,14
18.8,25.7,27.1,NA,NA,92,83,114,1680,NA,NA,5039,3060,1998,190,NA,NA,550,NA,NA,7000,138.1,550,NA,NA,138.1,4.1,31.4,17.9,4.1,31.4,17.9,2245,NA,2700,750,NA,NA,8,5,NA,NA,NA,NA,NA,NA,291,NA,291,8,5,680,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3982,NA,632,85,NA,NA,NA,12.4,NA,NA,NA,NA,NA,NA,15
NA,NA,NA,NA,NA,92,83,103,1290,NA,NA,4750,2805,1940,NA,NA,NA,510,NA,NA,7000,128.1,510,NA,NA,128.1,3.5,25.6,17.3,3.5,25.6,17.3,1760,NA,NA,NA,NA,NA,8.1,5.4,NA,NA,NA,NA,NA,NA,305,NA,305,8.1,5.4,632,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3982,NA,270,78,NA,NA,NA,NA,NA,NA,2.13,0.746,NA,NA,16
NA,NA,NA,NA,NA,79.5,89,103,1279,NA,NA,4739,2805,1940,NA,NA,NA,608,NA,NA,NA,116.8,608,NA,NA,116.8,2.9,24.8,13.7,2.9,24.8,13.7,1770,NA,NA,NA,NA,NA,5.8,2.6,NA,NA,NA,NA,NA,NA,322,NA,322,5.8,2.6,452,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,5204,NA,270,78,NA,NA,NA,NA,NA,NA,2.11,0.739,NA,NA,17
NA,NA,NA,NA,NA,79.5,89,89,1241,1570,1575,4385,2600,1865,NA,NA,NA,573,NA,NA,NA,96.5,573,NA,NA,96.5,2.9,26.3,10.6,2.9,26.3,10.6,1665,NA,NA,NA,NA,NA,6.4,3.4,NA,NA,NA,NA,NA,NA,328,NA,328,6.4,3.4,512,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,5935,NA,239,80,NA,NA,NA,11.8,NA,NA,1.97,0.729,NA,NA,18
NA,NA,NA,NA,NA,79.5,89,89,1282,NA,NA,4720,2740,1900,NA,NA,NA,517,NA,NA,NA,87.1,517,NA,NA,87.1,3.5,28.2,10.6,3.5,28.2,10.6,1785,NA,NA,NA,NA,NA,5.7,2.5,NA,NA,NA,NA,NA,NA,295,NA,295,5.7,2.5,445,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,5935,NA,155,78,NA,NA,NA,NA,NA,NA,2.07,0.725,NA,NA,19
