angulo_central_graus,angulo_de_entrada_graus,angulo_de_saida_graus,rampa_maxima_graus,inclinacao_lateral_maxima_graus,curso_do_pistao_mm,diametro_do_cilindro_mm,altura_do_flanco_mm,altura_mm,bitola_dianteira_mm,bitola_traseira_mm,comprimento_mm,distancia_entre_eixos_mm,largura_mm,vao_livre_do_solo_mm,altura_minima_do_solo_mm,travessia_de_agua_mm,potencia_maxima_rpm,rotacao_de_potencia_maxima_rpm,rotacao_de_torque_maximo_rpm,rotacao_maxima_rpm,potencia_especifica_cv,potencia_maxima_cv,potencia_cv,potencia_combinada_cv,potencia_especifica_cv/litro,peso_potencia_kg/cv,peso_torque_kg/kgfm,torque_especifico_kgfm/litro,peso_potencia_kg,peso_torque_kg,torque_especifico_kg,peso_kg,carga_util_kg,reboque_com_freio_kg,reboque_sem_freio_kg,torque_kg,torque_combinado_kg,consumo_rodoviario_gasolina_km/l,consumo_urbano_gasolina_km/l,consumo_rodoviario_diesel_km/l,consumo_urbano_diesel_km/l,consumo_rodoviario_km/l,consumo_urbano_km/l,consumo_rodoviario_alcool_km/l,consumo_urbano_alcool_km/l,velocidade_maxima_km/h,velocidade_maxima_modo_eletrico_km/h,velocidade_maxima_km,consumo_rodoviario_gasolina_km,consumo_urbano_gasolina_km,autonomia_rodoviaria_gasolina_km,autonomia_urbana_gasolina_km,consumo_rodoviario_diesel_km,consumo_urbano_diesel_km,autonomia_rodoviaria_diesel_km,autonomia_urbana_diesel_km,autonomia_km,consumo_eletrico_km,autonomia_eletrica_km,velocidade_maxima_modo_eletrico_km,consumo_rodoviario_km,consumo_urbano_km,autonomia_rodoviaria_km,autonomia_urbana_km,consumo_rodoviario_alcool_km,consumo_urbano_alcool_km,autonomia_rodoviaria_alcool_km,autonomia_urbana_alcool_km,aceleracao_0_100_km_h_s,cilindrada_cm³,cilindrada_unitaria_cm³,porta_malas_litros,tanque_de_combustivel_litros,porta_malas_5_lugares_litros,porta_malas_7_lugares_litros,porta_malas_6_lugares_litros,diametro_minimo_de_giro_m,diametro_de_giro_m,frenagem_0_100_km_h_m,area_frontal_m²,area_frontal_corrigida_m²,capacidade_de_bateria_kWh,consumo_eletrico_kWh,ID
NA,NA,NA,NA,NA,92.8,82.5,113,1386,1587,1568,4733,2824,1843,NA,NA,NA,190,NA,NA,NA,95.8,190,NA,NA,95.8,7.7,45.1,16.4,7.7,45.1,16.4,1470,570,1700,740,NA,NA,13.4,11,NA,NA,NA,NA,NA,NA,239,NA,239,13.4,11,724,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1984,NA,480,54,NA,NA,NA,11.7,NA,NA,2.17,0.608,NA,NA,167
NA,NA,NA,NA,NA,92.8,82.5,98,1386,1587,1568,4733,2824,1843,NA,NA,NA,252,NA,NA,NA,127,252,NA,NA,127,6.1,40.7,19,6.1,40.7,19,1535,570,1900,750,NA,NA,11.9,9.3,NA,NA,NA,NA,NA,NA,250,NA,250,11.9,9.3,690,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1984,NA,480,58,NA,NA,NA,11.7,NA,32.9,2.17,0.608,NA,NA,168
NA,NA,NA,NA,NA,92.8,82.5,98,1386,1587,1568,4733,2824,1843,NA,NA,NA,252,NA,NA,NA,127,252,NA,NA,127,6.1,40.7,19,6.1,40.7,19,1535,570,1900,750,NA,NA,11.9,9.3,NA,NA,NA,NA,NA,NA,250,NA,250,11.9,9.3,690,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1984,NA,480,58,NA,NA,NA,11.7,NA,32.9,2.17,0.608,NA,NA,169
NA,NA,NA,NA,NA,92.8,82.5,98,1386,1587,1568,4733,2824,1843,NA,NA,NA,190,NA,NA,NA,95.8,190,NA,NA,95.8,7.7,45.1,16.4,7.7,45.1,16.4,1470,570,1700,740,NA,NA,13.4,11,NA,NA,NA,NA,NA,NA,239,NA,239,13.4,11,724,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1984,NA,480,54,NA,NA,NA,11.7,NA,NA,2.17,0.608,NA,NA,170
NA,NA,NA,NA,NA,80,74.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11.9,10.2,NA,NA,NA,NA,8.1,6.9,204,NA,204,11.9,10.2,762,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.9,518,442,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,171
NA,NA,NA,NA,NA,92.8,82.5,129,1659,1616,1609,4663,2819,1893,208,NA,NA,252,NA,NA,NA,127,252,NA,NA,127,9.1,60.9,19,9.1,60.9,19,2295,280,NA,NA,NA,NA,9.2,7.8,NA,NA,NA,NA,NA,NA,235,NA,235,9.2,7.8,644,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,1984,NA,550,70,NA,NA,NA,11.7,NA,NA,2.67,0.801,NA,NA,172
NA,NA,NA,NA,NA,92.8,82.5,141,1659,1616,1609,4663,2819,1893,208,NA,NA,252,NA,NA,NA,127,252,NA,NA,127,6.8,45.6,19,6.8,45.6,19,1720,680,2400,750,NA,NA,10.3,8.5,NA,NA,NA,NA,NA,NA,237,NA,237,10.3,8.5,721,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,1984,NA,550,70,NA,NA,NA,11.7,NA,NA,2.67,0.801,NA,NA,173
NA,NA,NA,NA,NA,92.8,82.5,115,1659,1616,1609,4663,2819,1893,208,NA,NA,252,NA,NA,NA,127,252,NA,NA,127,6.8,45.6,19,6.8,45.6,19,1720,680,2400,750,NA,NA,10.3,8.5,NA,NA,NA,NA,NA,NA,237,NA,237,10.3,8.5,721,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,1984,NA,550,70,NA,NA,NA,11.7,NA,NA,2.67,0.801,NA,NA,174
NA,NA,NA,NA,NA,92.8,82.5,129,1659,1616,1609,4663,2819,1893,208,NA,NA,252,NA,NA,NA,127,252,NA,NA,127,6.8,45.6,19,6.8,45.6,19,1720,680,2400,750,NA,NA,10.3,8.5,NA,NA,NA,NA,NA,NA,237,NA,237,10.3,8.5,721,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,1984,NA,550,70,NA,NA,NA,11.7,NA,NA,2.67,0.801,NA,NA,175
NA,NA,NA,NA,NA,92.8,84.5,92,1240,1638,1599,4426,2650,1940,NA,NA,NA,610,NA,NA,NA,117.2,610,NA,NA,117.2,2.5,27.2,11,2.5,27.2,11,1555,340,NA,NA,NA,NA,6.8,5.2,NA,NA,NA,NA,NA,NA,330,NA,330,6.8,5.2,564,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,5204,NA,112,83,NA,NA,NA,11.2,NA,33.2,2.04,0.734,NA,NA,176
NA,NA,NA,NA,NA,92.8,82.5,82,1397,1559,1528,4479,2631,1802,NA,NA,NA,400,NA,NA,7000,161.3,400,NA,NA,161.3,3.8,31,19.7,3.8,31,19.7,1515,490,NA,NA,NA,NA,9.9,7.5,NA,NA,NA,NA,NA,NA,280,NA,280,9.9,7.5,545,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2480,NA,315,55,NA,NA,NA,10.9,NA,NA,2.14,0.71,NA,NA,177
NA,NA,NA,NA,NA,89,84.5,115,1635,1624,1613,4671,2819,1893,NA,NA,NA,354,NA,NA,6500,118.2,354,NA,NA,118.2,5.5,38.1,17,5.5,38.1,17,1945,630,2400,750,NA,NA,9.7,7,NA,NA,NA,NA,NA,NA,250,NA,250,9.7,7,679,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,2995,NA,550,70,NA,NA,NA,11.7,NA,NA,2.64,0.898,NA,NA,178
NA,NA,NA,NA,NA,92.8,82.5,86,1353,1572,1552,4177,2505,1832,NA,NA,NA,230,NA,NA,NA,115.9,230,NA,NA,115.9,5.8,35.4,19,5.8,35.4,19,1335,400,NA,NA,NA,NA,12.7,9.9,NA,NA,NA,NA,NA,NA,250,NA,250,12.7,9.9,635,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,1984,NA,305,50,NA,NA,NA,11,NA,NA,2.11,0.612,NA,NA,179
NA,NA,NA,NA,NA,92.8,82.5,86,1344,1564,1543,4191,2505,1832,NA,NA,NA,400,NA,NA,7000,161.3,400,NA,NA,161.3,3.6,29.4,19.7,3.6,29.4,19.7,1440,400,NA,NA,NA,NA,10.3,7.5,NA,NA,NA,NA,NA,NA,280,NA,280,10.3,7.5,567,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2480,NA,305,55,NA,NA,NA,11,NA,NA,2.09,0.669,NA,NA,180
NA,NA,NA,NA,NA,92.8,82.5,101,1409,1555,1526,4423,2595,1793,NA,NA,NA,190,NA,NA,6200,95.8,190,NA,NA,95.8,7.7,44.9,16.4,7.7,44.9,16.4,1465,500,1800,750,NA,NA,11.6,9.9,NA,NA,NA,NA,NA,NA,250,NA,250,11.6,9.9,580,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,1984,NA,287,50,NA,NA,NA,10.9,NA,NA,2.11,0.654,NA,NA,181
NA,NA,NA,NA,NA,92.8,82.5,113,1427,1572,1555,4726,2820,1842,NA,NA,NA,190,NA,NA,NA,95.8,190,NA,NA,95.8,7.4,43.1,16.4,7.4,43.1,16.4,1405,580,1700,740,NA,NA,14.3,11,NA,NA,NA,NA,NA,NA,240,NA,240,14.3,11,772,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,1984,NA,480,54,NA,NA,NA,11.6,NA,NA,2.23,0.513,NA,NA,182
NA,NA,NA,NA,NA,92.8,82.5,113,1427,1572,1555,4726,2820,1842,NA,NA,NA,190,NA,NA,NA,95.8,190,NA,NA,95.8,7.4,43.1,16.4,7.4,43.1,16.4,1405,580,1700,740,NA,NA,14.3,11,NA,NA,NA,NA,NA,NA,240,NA,240,14.3,11,772,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,1984,NA,480,54,NA,NA,NA,11.6,NA,NA,2.23,0.513,NA,NA,183
NA,NA,NA,NA,NA,92.8,82.5,98,1427,1572,1555,4726,2820,1842,NA,NA,NA,252,NA,NA,NA,127,252,NA,NA,127,6,40.1,19,6,40.1,19,1510,570,1900,750,NA,NA,13,9,NA,NA,NA,NA,NA,NA,250,NA,250,13,9,754,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,1984,NA,480,58,NA,NA,NA,11.6,NA,NA,2.23,0.513,NA,NA,184
NA,NA,NA,NA,NA,92.8,82.5,98,1434,1572,1555,4725,2820,1842,NA,NA,NA,190,NA,NA,NA,95.8,190,NA,NA,95.8,7.7,44.8,16.4,7.7,44.8,16.4,1460,600,1700,750,NA,NA,13.5,10.5,NA,NA,NA,NA,NA,NA,238,NA,238,13.5,10.5,729,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1984,NA,505,54,NA,NA,NA,11.6,NA,NA,2.25,0.54,NA,NA,185
NA,NA,NA,NA,NA,89,84.5,115,1460,1644,1635,5135,2992,1949,120,NA,NA,435,NA,NA,NA,108.9,435,NA,NA,108.9,4.4,31.4,15.3,4.4,31.4,15.3,1920,650,2300,750,NA,NA,10.3,7.1,NA,NA,NA,NA,NA,NA,250,NA,250,10.3,7.1,845,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3993,NA,510,82,NA,NA,NA,12.7,NA,NA,2.41,0.651,NA,NA,186
NA,NA,NA,NA,NA,80,74.5,129,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11,9.5,NA,NA,NA,NA,NA,NA,204,NA,204,11,9.5,704,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,187
NA,NA,NA,NA,NA,80,74.5,129,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11.9,10.2,NA,NA,NA,NA,8.1,6.9,204,NA,204,11.9,10.2,762,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.9,518,442,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,188
NA,NA,NA,NA,NA,92.8,82.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,220,NA,NA,NA,110.9,220,NA,NA,110.9,7.1,43.8,18,7.1,43.8,18,1565,600,2000,750,NA,NA,10.5,8.5,NA,NA,NA,NA,NA,NA,233,NA,233,10.5,8.5,672,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,1984,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,189
NA,NA,NA,NA,NA,80,74.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11.9,10.2,NA,NA,NA,NA,9.1,6.9,204,NA,204,11.9,10.2,762,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,6.9,582,442,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,190
NA,NA,NA,NA,NA,80,74.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11,9.5,NA,NA,NA,NA,NA,NA,204,NA,204,11,9.5,704,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,191
NA,NA,NA,NA,NA,80,74.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11.9,10.2,NA,NA,NA,NA,8.1,6.9,204,NA,204,11.9,10.2,762,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.9,518,442,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,192
NA,NA,NA,NA,NA,80,74.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11,9.5,NA,NA,NA,NA,NA,NA,204,NA,204,11,9.5,704,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,193
NA,NA,NA,NA,NA,89,84.5,128,1741,1679,1691,5052,2994,1968,205,NA,NA,333,NA,NA,6500,111.2,333,NA,NA,111.2,5.9,43.9,15,5.9,43.9,15,1970,880,3500,750,NA,NA,9.3,5.9,NA,NA,NA,NA,NA,NA,250,NA,250,9.3,5.9,791,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,2995,NA,NA,85,450,295,NA,11.4,NA,NA,2.91,0.946,NA,NA,194
NA,NA,NA,NA,NA,91.4,83,128,1741,1679,1691,5052,2994,1968,205,NA,NA,272,NA,NA,NA,91.7,272,NA,NA,91.7,7.6,33.7,20.6,7.6,33.7,20.6,2060,880,3500,750,NA,NA,NA,NA,10.8,9.1,NA,NA,NA,NA,234,NA,234,NA,NA,NA,NA,10.8,9.1,810,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,2967,NA,NA,75,450,295,NA,11.4,NA,NA,2.91,0.946,NA,NA,195
NA,NA,NA,NA,NA,89,84.5,86,1461,1662,1663,4979,2915,1936,NA,NA,NA,605,NA,NA,7000,151.5,605,NA,NA,151.5,3.2,25.5,19.2,3.2,25.5,19.2,1950,555,2100,750,NA,NA,8,5,NA,NA,NA,NA,NA,NA,305,NA,305,8,5,600,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,3993,NA,565,75,NA,NA,NA,11.9,NA,NA,2.4,0.845,NA,NA,196
NA,NA,NA,NA,NA,89,84.5,83,1419,1634,1625,5012,2915,1911,NA,NA,NA,605,NA,NA,7000,151.5,605,NA,NA,151.5,3.1,24.9,19.2,3.1,24.9,19.2,1905,610,NA,NA,NA,NA,9.2,6.7,NA,NA,NA,NA,NA,NA,305,NA,305,9.2,6.7,690,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,3993,NA,535,75,NA,NA,NA,11.9,NA,NA,2.3,0.69,NA,NA,197
NA,NA,NA,NA,NA,89,84.5,115,1627,1630,1626,4644,2813,1911,NA,NA,NA,354,NA,NA,NA,118.2,354,NA,NA,118.2,5.4,39.8,16,5.4,39.8,16,1905,NA,NA,NA,NA,NA,9.7,7,NA,NA,NA,NA,NA,NA,250,NA,250,9.7,7,728,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,2995,NA,540,75,NA,NA,NA,11.6,NA,NA,2.64,0.95,NA,NA,198
NA,NA,NA,NA,NA,89,84.5,106,1458,1632,1623,5147,2994,1949,NA,NA,NA,605,NA,NA,7000,151.5,605,NA,NA,151.5,3.3,26,19.2,3.3,26,19.2,1990,600,2300,750,NA,NA,8.8,6.4,NA,NA,NA,NA,NA,NA,305,NA,305,8.8,6.4,722,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,3993,NA,520,82,NA,NA,NA,12.3,NA,NA,2.42,0.678,NA,NA,199
NA,NA,NA,NA,NA,92.8,82.5,86,1355,1572,1552,4177,2505,1832,NA,NA,NA,230,NA,NA,NA,115.9,230,NA,NA,115.9,6.2,37.8,19,6.2,37.8,19,1425,320,NA,NA,NA,NA,12.8,10,NA,NA,NA,NA,NA,NA,250,NA,250,12.8,10,640,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,1984,NA,280,50,NA,NA,NA,11,NA,NA,2.11,0.675,NA,NA,200
NA,NA,NA,NA,NA,92.8,82.5,86,1343,1574,1533,4191,2505,1832,NA,NA,NA,286,NA,NA,NA,144.2,286,NA,NA,144.2,4.8,35.3,19.5,4.8,35.3,19.5,1365,400,NA,NA,NA,NA,10.7,9.2,NA,NA,NA,NA,NA,NA,250,NA,250,10.7,9.2,589,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,1984,NA,305,55,NA,NA,NA,11,NA,NA,2.09,0.627,NA,NA,201
NA,NA,NA,NA,NA,80,74.5,86,1422,1477,1471,3973,2469,1746,NA,NA,NA,125,NA,NA,NA,89.6,125,NA,NA,89.6,9.1,55.9,14.6,9.1,55.9,14.6,1140,450,NA,NA,NA,NA,15.2,12.6,NA,NA,NA,NA,NA,NA,204,NA,204,15.2,12.6,684,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,1395,NA,270,45,NA,NA,NA,10.6,NA,NA,2.04,0.694,NA,NA,202
NA,NA,NA,NA,NA,84.1,82.5,86,1422,1477,1471,3973,2469,1746,NA,NA,NA,192,NA,NA,NA,106.8,192,NA,NA,106.8,6.3,47.3,14.2,6.3,47.3,14.2,1205,450,NA,NA,NA,NA,13.7,10.5,NA,NA,NA,NA,NA,NA,234,NA,234,13.7,10.5,617,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1798,NA,270,45,NA,NA,NA,10.6,NA,NA,2.04,0.694,NA,NA,203
NA,NA,NA,NA,NA,80,74.5,113,1425,1535,1506,4310,2636,1785,NA,NA,NA,122,NA,NA,NA,87.5,122,NA,NA,87.5,10,60,14.6,10,60,14.6,1225,560,NA,NA,NA,NA,11.5,10,NA,NA,NA,NA,NA,NA,203,NA,203,11.5,10,575,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,1395,NA,380,50,NA,NA,NA,10.9,NA,NA,2.13,0.66,NA,NA,204
NA,NA,NA,NA,NA,80,74.5,113,1416,1555,1526,4456,2637,1796,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,8.3,48.6,18.3,8.3,48.6,18.3,1240,570,NA,NA,NA,NA,14.2,11.7,NA,NA,NA,NA,9.9,7.8,215,NA,215,14.2,11.7,710,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,7.8,495,390,8.8,1395,NA,425,50,NA,NA,NA,10.9,NA,NA,2.12,0.636,NA,NA,205
NA,NA,NA,NA,NA,92.8,82.5,101,1416,1555,1526,4456,2637,1796,NA,NA,NA,220,NA,NA,NA,110.9,220,NA,NA,110.9,6,37,18,6,37,18,1320,550,NA,NA,NA,NA,12.8,10.3,NA,NA,NA,NA,NA,NA,250,NA,250,12.8,10.3,640,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1984,NA,425,50,NA,NA,NA,10.9,NA,NA,2.12,0.636,NA,NA,206
NA,NA,NA,NA,NA,80,74.5,101,1416,1555,1526,4456,2637,1796,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,8.3,48.6,18.3,8.3,48.6,18.3,1240,570,NA,NA,NA,NA,14.2,11.7,NA,NA,NA,NA,9.9,7.8,215,NA,215,14.2,11.7,710,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,7.8,495,390,8.8,1395,NA,425,50,NA,NA,NA,10.9,NA,NA,2.12,0.636,NA,NA,207
NA,NA,NA,NA,NA,84.1,82.5,98,1436,1564,1551,4699,2808,1826,NA,NA,NA,170,NA,NA,NA,94.5,170,NA,NA,94.5,9,46.9,18.1,9,46.9,18.1,1530,570,1700,750,NA,NA,9.2,8.5,NA,NA,NA,NA,NA,NA,215,NA,215,9.2,8.5,580,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,1798,NA,490,63,NA,NA,NA,11.5,NA,NA,2.23,0.691,NA,NA,208
NA,NA,NA,NA,NA,92.8,82.5,102,1420,1644,1635,4974,2914,1911,NA,NA,NA,252,NA,NA,NA,127,252,NA,NA,127,6.9,45.9,19,6.9,45.9,19,1730,NA,1800,750,NA,NA,9.5,8.3,NA,NA,NA,NA,NA,NA,250,NA,250,9.5,8.3,713,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1984,NA,530,75,NA,NA,NA,11.9,NA,NA,2.31,0.647,NA,NA,209
NA,NA,NA,NA,NA,92.8,82.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,180,NA,NA,NA,90.7,180,NA,NA,90.7,8.6,47.2,16.4,8.6,47.2,16.4,1540,600,2000,750,NA,NA,9.6,8,NA,NA,NA,NA,NA,NA,217,NA,217,9.6,8,614,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,1984,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,210
NA,NA,NA,NA,NA,80,74.5,129,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11,9.5,NA,NA,NA,NA,NA,NA,204,NA,204,11,9.5,704,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,211
NA,NA,NA,NA,NA,92.8,82.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,180,NA,NA,NA,90.7,180,NA,NA,90.7,8.6,47.2,16.4,8.6,47.2,16.4,1540,600,2000,750,NA,NA,10.6,8.6,NA,NA,NA,NA,NA,NA,217,NA,217,10.6,8.6,678,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,1984,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,212
NA,NA,NA,NA,NA,80,74.5,118,1590,1571,1575,4388,2603,1831,NA,NA,NA,150,NA,NA,6300,107.5,150,NA,NA,107.5,9.4,55.1,18.3,9.4,55.1,18.3,1405,600,1800,740,NA,NA,11,9.5,NA,NA,NA,NA,NA,NA,204,NA,204,11,9.5,704,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,1395,NA,460,64,NA,NA,NA,11.8,NA,NA,2.47,0.79,NA,NA,213
NA,NA,NA,NA,NA,92.8,84.5,92,1244,1638,1595,4440,2650,1929,NA,NA,NA,525,NA,NA,8700,100.9,525,NA,NA,100.9,3.3,32.3,10.4,3.3,32.3,10.4,1745,300,NA,NA,NA,NA,7,4.5,NA,NA,NA,NA,NA,NA,311,NA,311,7,4.5,560,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,5204,NA,100,80,NA,NA,NA,11.8,NA,NA,1.99,0.716,NA,NA,214
NA,NA,NA,NA,NA,92.8,82.5,82,1411,1559,1514,4343,2631,1800,NA,NA,NA,367,NA,NA,6800,148,367,NA,NA,148,4.1,32,19.2,4.1,32,19.2,1520,500,NA,NA,NA,NA,9.9,8,NA,NA,NA,NA,NA,NA,250,NA,250,9.9,8,545,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,2480,NA,280,55,NA,NA,NA,10.7,NA,NA,2.16,0.734,NA,NA,215
NA,NA,NA,NA,NA,92.8,82.5,118,1580,1571,1577,4410,2603,1841,NA,NA,NA,310,NA,NA,NA,125,310,NA,NA,125,5.3,38.7,17.3,5.3,38.7,17.3,1655,560,NA,NA,NA,NA,10.1,6.8,NA,NA,NA,NA,NA,NA,250,NA,250,10.1,6.8,646,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2480,NA,356,64,NA,NA,NA,11.8,NA,NA,2.47,0.815,NA,NA,216
