,url,id,conforto,infoteinimento,seguranca
17,https://guiacarros.com.br/ficha-carro/aston-martin-db11-52-v12-turbo-2017,17,"['✔ Ajuste do volante em altura', '✔ Ajuste do volante em profundidade', '✔ Ajuste elétrico dos retrovisores', '✔ Apoio de braço para o motorista', '✔ Ar quente', '✔ Ar-condicionado', '✔ Ar-condicionado automático', '✔ Banco do motorista com ajuste de altura', '✔ Banco do motorista com ajuste elétrico', '✔ Bancos revestidos em couro', '✔ Câmbio automático', '✔ Chave presencial', '✔ Comando interno da tampa do tanque', '✔ Comando interno do porta-malas', '✔ Controle automático de velocidade', '✔ Controle de largada', '✔ Controle elétrico dos vidros dianteiros', '✔ Controle eletrônico de amortecimento', '✔ Desativação de cilindros', '✔ Direção assistida', '✔ Faróis com acendimento automático', '✔ Limpador de para-brisa automático', '✔ Luz no porta-malas', '✔ Porta-luvas climatizado', '✔ Retrovisor interno fotocrômico', '✔ Retrovisores rebativeis eletricamente', '✔ Rodas de liga leve', '✔ Sistema start-stop', '✔ Troca de marchas no volante', '✔ Zonas de ar-condicionado: 2']","['✔ CD player', '✔ Computador de bordo', '✔ Conexão Bluetooth', '✔ Conexão USB', '✔ Conta-giros', '✔ Indicador de temperatura externa', '✔ Navegador GPS', '✔ Rádio', '✔ Termômetro da água do motor', '✔ Volante multifuncional']","['✔ Airbags de cortina', '✔ Airbags frontais', '✔ Airbags laterais', '✔ Alarme antifurto perimétrico', '✔ Alarme antifurto volumétrico', '✔ Assistente de partida em rampa', '✔ Câmera traseira para manobras', '✔ Câmeras para visão de 360 graus', '✔ Cintos de três pontos para todos os ocupantes', '✔ Controle de estabilidade', '✔ Controle de tração', '✔ Desembaçador do vidro traseiro', '✔ Encosto de cabeça para todos os ocupantes', '✔ Faróis com refletores duplos', '✔ Faróis com regulagem de altura', '✔ Faróis de LED', '✔ Freios ABS', '✔ ISOFIX para fixação de cadeira infantil', '✔ Luzes de condução diurna', '✔ Monitoramento de pressão dos pneus', '✔ Repetidores laterais das luzes de direção', '✔ Sensores de estacionamento dianteiro', '✔ Sensores de estacionamento traseiro', '✔ Travamento central das portas']"
18,https://guiacarros.com.br/ficha-carro/aston-martin-vantage-s-60-v12-2015,18,[],[],[]
19,https://guiacarros.com.br/ficha-carro/aston-martin-db9-60-v12-2014,19,[],[],[]
20,https://guiacarros.com.br/ficha-carro/aston-martin-rapide-s-60-v12-2014,20,[],[],[]
21,https://guiacarros.com.br/ficha-carro/aston-martin-vanquish-60-v12-2014,21,[],[],[]
22,https://guiacarros.com.br/ficha-carro/aston-martin-vantage-60-v12-2012,22,[],[],[]
23,https://guiacarros.com.br/ficha-carro/aston-martin-vantage-47-v8-2012,23,[],[],[]
24,https://guiacarros.com.br/ficha-carro/aston-martin-virage-60-v12-2012,24,[],[],[]
25,https://guiacarros.com.br/ficha-carro/aston-martin-dbs-60-v12-2011,25,[],[],[]
26,https://guiacarros.com.br/ficha-carro/aston-martin-vanquish-60-v12-2003,26,[],[],[]
27,https://guiacarros.com.br/ficha-carro/aston-martin-db7-32-2000,27,[],[],[]
